,tweet,label,translated
0,별이야!!!!!! https://t.co/0ayXZJeew1,0,It's a star!!!!!!! https://t.co/0ayXZJeew1
1,"아아아아아ㅏ아아ㅏ
피곤한데 오랜만에 틧터하면서 밤 샐래
같이 하실 분? 없으면 #미어캣즈 랑 하구..",1,"Ahhhhhhh
I'm tired, but it's been a while since I wanted to sleep through the night
Who wants to join us? If not, go with #Meerkats.."
2,"바둑아!!
개자쓱아 경인선 갔으면 화끈하게~마~
백신 마자쁘라
쪽팔리게스루 뭔 쏘질이고~
망신스러 못살게따~
머스마가 부랄달고 뭐하는 짓이고~
나가 죽어라
니들이 존경하는 베네슈엘라 차베스는 마자뿌따
개자쓱~나가 죽어삐라 https://t.co/BsQ2aVM7u8",1,"Baduk-ah!!
If you go to the Gyeongin Line, you'll be hot~
Vaccine Majappra
What are you talking about, you piece of shit~
It's so embarrassing that I can't live~
What are you doing, Musma, making a fuss~
Go out and die
The Venezuelan Chavez that you respect is Majaputa
Go out and die https://t.co/BsQ2aVM7u8"
3,"외롭다,,,누가 나한테 고백 좀 해주시와요
#트친소 #게친소 #게이들 https://t.co/WAkRGNK5VH",1,"I'm lonely,,,someone please confess to me
#tchinso #gaychinso #gays https://t.co/WAkRGNK5VH"
4,갑자기업노말재탕중 역시마음의고향이에 https://t.co/5pvwPLEnaN,0,"Suddenly, I'm rehashing the normal version of the story. In the hometown of my heart https://t.co/5pvwPLEnaN"
5,"잘 안 붙어서 떡칠햇지만 정리하면 되고, 24시간 안정시킨 후 핀 박자🙂 https://t.co/m4wZguhxtx",1,"It didn't stick well so I patched it up, but it can be cleaned up, let it settle for 24 hours and then hit the pin 🙂 https://t.co/m4wZguhxtx"
6,이거 뭔지 맞추시면 소원권 천만개드림 https://t.co/SkRQYQmTy5,0,"If you guess what this is, I'll give you 10 million wish tickets https://t.co/SkRQYQmTy5"
7,리듬게임 실력 갑자기 겁나 퇴화돼버렸음... 우울해..ㅠㅠㅠㅠㅠㅠㅠ,1,My rhythm game skills have suddenly deteriorated horribly... I'm depressed...ㅠㅠㅠㅠㅠㅠㅠ
8,생각할땐 재밌었는데 그리니까 노잼됨... https://t.co/pIRLoHi7Bv,0,"It was fun when I thought about it, but it became boring when I drew it... https://t.co/pIRLoHi7Bv"
9,"서울시·25개 자치구, 내달 초 재난지원금 5000억 지급 | 다음 뉴스 https://t.co/3Vs7RmYcpU 개인택시 기사들은 이방인인가요? 왜 제외 시켰나요?  개인택시도 끼어주세요! 힘들어 죽겠어요?",1,Seoul city and 25 autonomous districts to pay 500 billion won in disaster relief early next month | Next News https://t.co/3Vs7RmYcpU Are private taxi drivers foreigners? Why did you exclude it?  Please also include a private taxi! Are you going to die from exhaustion?
10,"2020년 하반기는 7월이 고비였고, 다행이 뒤로 갈수록 좋음의 상태가 훨씬 많은 날을 차지함. 올해는 감정 일기를 써볼까 하여 새로운 어플을 다운 받았다. 2021년도 나를 잘 들여다 봐야지. https://t.co/2G4Keabfx6",1,"In the second half of 2020, July was a critical month, and fortunately, the further back we went, the more days were in good condition. This year, I downloaded a new app to write an emotional diary. I need to take a good look at myself in 2021. https://t.co/2G4Keabfx6"
11,우울해서 죽는 거보다 범규 얼굴보고 죽는 게 더 빠를 듯 https://t.co/pHOVDutSDd,1,It would be quicker to die looking at Beomgyu's face than to die from depression https://t.co/pHOVDutSDd
12,"벌써 올 해가 다 갔네... 유난히 올 한해는 힘들었지? 조금 이르지만, 다들 수고 많았어.",0,"The year is already over... This year has been particularly difficult, right? It's a little early, but everyone worked hard."
13,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저 언니 왜 저러냐 
ㅋㅋㅋㅋㅋ",0,"Hahaha why is she like that? 
lol"
14,1-2년 공들였다가 결국 무용하게 된 일의 형식 만들기를 그대로 다시 따라가고 있다는 기억이 지겹다못해 스트레스를 주는 듯.,1,"It's so stressful, if not boring, to remember that I'm going through the same process of creating something that took 1-2 years of work but ended up being useless."
15,"와점점해가뜨고있어요느낌표
#엥_뭐야
제방이점점밝아지고있습니다잉",0,"Wow, the sun is rising. Exclamation mark
#What is it
The embankment is getting brighter."
16,음...... [원격 유도 장치] #워크래프트 https://t.co/DSDuMxNi1q,0,Hmm... [Remote Guidance Device] #Warcraft https://t.co/DSDuMxNi1q
